residual,TCI,time,HYDRO_GP,Transect,Species,standResid
-0.12018956972212069,8,1.5,Group 3,21,RRG,-1.2123204615461858
0.08996486822952565,9,-1.5,Group 3,21,RRG,0.8114559910180353
0.04157566403511059,9,-0.5,Group 3,21,RRG,0.3749999563804334
-0.26304671257926354,6,1.5,Group 3,21,RRG,-2.653282749406558
0.16139343965809705,10,-1.5,Group 3,21,RRG,1.455720172761722
0.11300423546368199,10,-0.5,Group 3,21,RRG,1.0192641381241199
-0.048760998293549185,9,1.5,Group 3,21,RRG,-0.49183931761599853
0.16139343965809705,10,-1.5,Group 3,21,RRG,1.455720172761722
0.11300423546368199,10,-0.5,Group 3,21,RRG,1.0192641381241199
0.09409614456359361,11,1.5,Group 3,21,RRG,0.9491229702443735
-0.05289227462761725,7,-1.5,Group 3,21,RRG,-0.47707237246933876
-0.10128147882203231,7,-0.5,Group 3,21,RRG,-0.9135284071069407
0.09409614456359361,11,1.5,Group 3,21,RRG,0.9491229702443735
0.08996486822952565,9,-1.5,Group 3,21,RRG,0.8114559910180353
0.04157566403511059,9,-0.5,Group 3,21,RRG,0.3749999563804334
0.09409614456359361,11,1.5,Group 3,21,RRG,0.9491229702443735
0.08996486822952565,9,-1.5,Group 3,21,RRG,0.8114559910180353
0.04157566403511059,9,-0.5,Group 3,21,RRG,0.3749999563804334
0.09409614456359361,11,1.5,Group 3,21,RRG,0.9491229702443735
0.08996486822952565,9,-1.5,Group 3,21,RRG,0.8114559910180353
0.04157566403511059,9,-0.5,Group 3,21,RRG,0.3749999563804334
0.022667573135022212,10,1.5,Group 3,21,RRG,0.2286418263141875
0.018536296800954144,8,-1.5,Group 3,21,RRG,0.1671918092743478
-0.029852907393460915,8,-0.5,Group 3,21,RRG,-0.2692642253632542
0.09409614456359361,11,1.5,Group 3,21,RRG,0.9491229702443735
-0.043697146184127234,7,-0.5,Group 2,10,BB,-0.4135302314939025
0.09178347738100634,11,1.5,Group 2,10,BB,1.9087394456908071
-0.32060135358261393,2,-1.5,Group 2,10,BB,-3.0340277007022314
-0.4008400033269844,2,-0.5,Group 2,10,BB,-3.793370364951562
0.036541503560243216,7,-1.5,Group 2,10,BB,0.3458124327554288
-0.043697146184127234,7,-0.5,Group 2,10,BB,-0.4135302314939025
0.020354905952434943,10,1.5,Group 2,10,BB,0.4233028973554586
0.17939864641738612,9,-1.5,Group 2,10,BB,1.697748486138493
0.09915999667301567,9,-0.5,Group 2,10,BB,0.9384058218891619
0.020354905952434943,10,1.5,Group 2,10,BB,0.4233028973554586
-0.034887067868328236,6,-1.5,Group 2,10,BB,-0.33015559393610344
-0.11512571761269869,6,-0.5,Group 2,10,BB,-1.0894982581854347
0.020354905952434943,10,1.5,Group 2,10,BB,0.4233028973554586
0.036541503560243216,7,-1.5,Group 2,10,BB,0.3458124327554288
-0.043697146184127234,7,-0.5,Group 2,10,BB,-0.4135302314939025
0.020354905952434943,10,1.5,Group 2,10,BB,0.4233028973554586
0.17939864641738612,9,-1.5,Group 2,10,BB,1.697748486138493
0.09915999667301567,9,-0.5,Group 2,10,BB,0.9384058218891619
0.020354905952434943,10,1.5,Group 2,10,BB,0.4233028973554586
0.036541503560243216,7,-1.5,Group 2,10,BB,0.3458124327554288
-0.043697146184127234,7,-0.5,Group 2,10,BB,-0.4135302314939025
0.08273748692929161,9,-1.5,Group 1,22,BB,0.6673543213219261
0.0012320438883135498,9,-0.5,Group 1,22,BB,0.009937572960452445
0.006004112136187789,11,1.5,Group 1,22,BB,0.10914695041485152
0.08273748692929161,9,-1.5,Group 1,22,BB,0.6673543213219261
0.0012320438883135498,9,-0.5,Group 1,22,BB,0.009937572960452445
0.006004112136187789,11,1.5,Group 1,22,BB,0.10914695041485152
-0.06011965592785129,7,-1.5,Group 1,22,BB,-0.48492060453959474
