residual,Extent,time,HydroGp,Transect,Species,standResid
0.10974747012257102,0.95,1.5,Group 3,12,RRG,1.2468786704295882
0.20180833337978354,0.999,-1.5,Group 3,12,RRG,1.2842392863490497
0.18656274529205774,0.999,-0.5,Group 3,12,RRG,1.1872215723733497
0.10974747012257102,0.95,1.5,Group 3,12,RRG,1.2468786704295882
0.20180833337978354,0.999,-1.5,Group 3,12,RRG,1.2842392863490497
0.18656274529205774,0.999,-0.5,Group 3,12,RRG,1.1872215723733497
0.10974747012257102,0.95,1.5,Group 3,12,RRG,1.2468786704295882
-0.2332349010887192,0.2,-1.5,Group 1,11,BB,-1.114584259995421
-0.3045278163792912,0.2,-0.5,Group 1,11,BB,-1.4552792454420127
-0.293747079779765,0.35,1.5,Group 1,11,BB,-1.5039933463896125
0.0667650989112808,0.5,-1.5,Group 1,11,BB,0.3190574310113411
-0.004527816379291227,0.5,-0.5,Group 1,11,BB,-0.021637554435250634
0.206252920220235,0.85,1.5,Group 1,11,BB,1.0560207778652089
-0.03323490108871918,0.4,-1.5,Group 1,11,BB,-0.1588231326575795
-0.1045278163792912,0.4,-0.5,Group 1,11,BB,-0.49951811810417124
0.25625292022023505,0.9,1.5,Group 1,11,BB,1.3120221902906912
-0.03323490108871918,0.4,-1.5,Group 1,11,BB,-0.1588231326575795
-0.1045278163792912,0.4,-0.5,Group 1,11,BB,-0.49951811810417124
-0.24374707977976495,0.4,1.5,Group 1,11,BB,-1.24799193396413
-0.13323490108871922,0.3,-1.5,Group 1,11,BB,-0.6367036963265004
-0.20452781637929124,0.3,-0.5,Group 1,11,BB,-0.9773986817730921
0.15625292022023507,0.8,1.5,Group 1,11,BB,0.8000193654397271
-0.03323490108871918,0.4,-1.5,Group 1,11,BB,-0.1588231326575795
-0.1045278163792912,0.4,-0.5,Group 1,11,BB,-0.49951811810417124
0.10625292022023503,0.75,1.5,Group 1,11,BB,0.5440179530142447
-0.2332349010887192,0.2,-1.5,Group 1,11,BB,-1.114584259995421
-0.3045278163792912,0.2,-0.5,Group 1,11,BB,-1.4552792454420127
0.0062529202202350476,0.65,1.5,Group 1,11,BB,0.03201512816328058
0.16676509891128077,0.6,-1.5,Group 1,11,BB,0.7969379946802617
0.09547218362070875,0.6,-0.5,Group 1,11,BB,0.45624300923366995
0.206252920220235,0.85,1.5,Group 1,11,BB,1.0560207778652089
0.16676509891128077,0.6,-1.5,Group 1,11,BB,0.7969379946802617
0.09547218362070875,0.6,-0.5,Group 1,11,BB,0.45624300923366995
0.206252920220235,0.85,1.5,Group 1,11,BB,1.0560207778652089
0.306252920220235,0.95,1.5,Group 1,11,BB,1.5680236027161731
0.37676509891128085,0.81,-1.5,Group 1,11,BB,1.8004871783849956
0.3054721836207088,0.81,-0.5,Group 1,11,BB,1.459792192938404
-0.3332349010887192,0.1,-1.5,Group 1,11,BB,-1.592464823664342
-0.40452781637929125,0.1,-0.5,Group 1,11,BB,-1.9331598091109337
-0.14374707977976497,0.5,1.5,Group 1,11,BB,-0.735989109113166
-0.2332349010887192,0.2,-1.5,Group 1,11,BB,-1.114584259995421
-0.3045278163792912,0.2,-0.5,Group 1,11,BB,-1.4552792454420127
-0.293747079779765,0.35,1.5,Group 1,11,BB,-1.5039933463896125
-0.03323490108871918,0.4,-1.5,Group 1,11,BB,-0.1588231326575795
-0.1045278163792912,0.4,-0.5,Group 1,11,BB,-0.49951811810417124
0.206252920220235,0.85,1.5,Group 1,11,BB,1.0560207778652089
-0.2332349010887192,0.2,-1.5,Group 1,11,BB,-1.114584259995421
-0.3045278163792912,0.2,-0.5,Group 1,11,BB,-1.4552792454420127
0.15625292022023507,0.8,1.5,Group 1,11,BB,0.8000193654397271
-0.03323490108871918,0.4,-1.5,Group 1,11,BB,-0.1588231326575795
-0.1045278163792912,0.4,-0.5,Group 1,11,BB,-0.49951811810417124
0.206252920220235,0.85,1.5,Group 1,11,BB,1.0560207778652089
-0.03323490108871918,0.4,-1.5,Group 1,11,BB,-0.1588231326575795
-0.1045278163792912,0.4,-0.5,Group 1,11,BB,-0.49951811810417124
0.206252920220235,0.85,1.5,Group 1,11,BB,1.0560207778652089
-0.2832349010887192,0.15,-1.5,Group 1,11,BB,-1.3535245418298814
-0.3545278163792912,0.15,-0.5,Group 1,11,BB,-1.694219527276473
0.10625292022023503,0.75,1.5,Group 1,11,BB,0.5440179530142447
0.4767650989112808,0.91,-1.5,Group 1,11,BB,2.2783677420539163
0.4054721836207088,0.91,-0.5,Group 1,11,BB,1.9376727566073244
-0.24374707977976495,0.4,1.5,Group 1,11,BB,-1.24799193396413
-0.03323490108871918,0.4,-1.5,Group 1,11,BB,-0.1588231326575795
-0.1045278163792912,0.4,-0.5,Group 1,11,BB,-0.49951811810417124
0.306252920220235,0.95,1.5,Group 1,11,BB,1.5680236027161731
0.26676509891128075,0.7,-1.5,Group 1,11,BB,1.2748185583491822
0.19547218362070873,0.7,-0.5,Group 1,11,BB,0.9341235729025906
0.10625292022023503,0.75,1.5,Group 1,11,BB,0.5440179530142447
-0.004527816379291227,0.5,-0.5,Group 1,11,BB,-0.021637554435250634
0.206252920220235,0.85,1.5,Group 1,11,BB,1.0560207778652089
0.0667650989112808,0.5,-1.5,Group 1,11,BB,0.3190574310113411
-0.03323490108871918,0.4,-1.5,Group 1,11,BB,-0.1588231326575795
-0.1045278163792912,0.4,-0.5,Group 1,11,BB,-0.49951811810417124
0.206252920220235,0.85,1.5,Group 1,11,BB,1.0560207778652089
0.0667650989112808,0.5,-1.5,Group 1,11,BB,0.3190574310113411
-0.004527816379291227,0.5,-0.5,Group 1,11,BB,-0.021637554435250634
0.15625292022023507,0.8,1.5,Group 1,11,BB,0.8000193654397271
-0.03323490108871918,0.4,-1.5,Group 1,11,BB,-0.1588231326575795
-0.1045278163792912,0.4,-0.5,Group 1,11,BB,-0.49951811810417124
0.10625292022023503,0.75,1.5,Group 1,11,BB,0.5440179530142447
0.26676509891128075,0.7,-1.5,Group 1,11,BB,1.2748185583491822
0.19547218362070873,0.7,-0.5,Group 1,11,BB,0.9341235729025906
0.15625292022023507,0.8,1.5,Group 1,11,BB,0.8000193654397271
-0.3332349010887192,0.1,-1.5,Group 1,11,BB,-1.592464823664342
-0.40452781637929125,0.1,-0.5,Group 1,11,BB,-1.9331598091109337
-0.393747079779765,0.25,1.5,Group 1,11,BB,-2.0159961712405767
0.16676509891128077,0.6,-1.5,Group 1,11,BB,0.7969379946802617
