TCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,mTCI
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.56
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
9,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.42
9,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.42
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.675
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.63
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.63
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.495
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.5915
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.5915
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.76
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.595
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.7225
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.76
10,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.525
10,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.525
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.675
3,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.015
3,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.015
6,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.0325
8,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.36
8,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.36
5,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,0.06
5,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,0.06
10,Group 1,2,Eucalyptus largiflorens,2018,2018,0,0.6
8,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,0.36
8,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,0.36
0,Group 1,2,Eucalyptus largiflorens,2018,2018,0,0
9,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,0.35
9,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,0.35
