TCI,HydroGp,Transect,Species,Year,time,mTCI,Extent,Density
13,Group 5,17,RRG,2015,-1.5,0.7371,0.91,0.81
13,Group 5,17,RRG,2016,-0.5,0.7371,0.91,0.81
12,Group 5,17,RRG,2018,1.5,0.75,1,0.75
10,Group 5,17,RRG,2015,-1.5,0.427,0.7,0.61
10,Group 5,17,RRG,2016,-0.5,0.427,0.7,0.61
12,Group 5,17,RRG,2018,1.5,0.765,0.9,0.85
10,Group 5,17,RRG,2015,-1.5,0.49,0.7,0.7
10,Group 5,17,RRG,2016,-0.5,0.49,0.7,0.7
12,Group 5,17,RRG,2018,1.5,0.765,0.9,0.85
12,Group 5,17,RRG,2015,-1.5,0.7225,0.85,0.85
12,Group 5,17,RRG,2016,-0.5,0.7225,0.85,0.85
12,Group 5,17,RRG,2018,1.5,0.7225,0.85,0.85
11,Group 5,17,RRG,2018,1.5,0.72,0.9,0.8
12,Group 5,17,RRG,2015,-1.5,0.6561,0.81,0.81
12,Group 5,17,RRG,2016,-0.5,0.6561,0.81,0.81
11,Group 5,17,RRG,2015,-1.5,0.4941,0.61,0.81
11,Group 5,17,RRG,2016,-0.5,0.4941,0.61,0.81
11,Group 5,17,RRG,2018,1.5,0.6375,0.85,0.75
9,Group 5,17,RRG,2015,-1.5,0.4,0.5,0.8
