mTCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,TCI
0.4941,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,11
0.6375,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.4,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.4,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.3575,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,9
0.7225,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.7225,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.7125,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.08,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,8
0.08,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,8
0.7125,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.637,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.637,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.75,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.637,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.637,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.665,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.51,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.51,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.665,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.7735,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,13
0.7735,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,13
0.7125,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.637,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.637,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.7125,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.405,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.405,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.7125,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.405,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.405,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.7125,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.405,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.405,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.7125,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.648,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,11
0.648,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,11
0.76,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.56,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.56,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.675,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.56,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.56,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.7125,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.42,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,9
0.42,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,9
0.675,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.63,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,11
0.63,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,11
0.495,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,10
0.5915,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.5915,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.76,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.595,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,11
0.7225,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.76,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.525,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,10
0.525,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,10
0.675,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.015,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,3
0.015,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,3
0.0325,Group 2,19,Eucalyptus largiflorens,2018,2018,0,6
0.36,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,8
0.36,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,8
0.06,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,5
0.06,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,5
0.6,Group 1,2,Eucalyptus largiflorens,2018,2018,0,10
0.36,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,8
0.36,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,8
0,Group 1,2,Eucalyptus largiflorens,2018,2018,0,0
0.35,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,9
0.35,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,9
0.7225,Group 1,2,Eucalyptus largiflorens,2018,2018,0,12
0.546,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,11
0.546,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,11
0.76,Group 1,2,Eucalyptus largiflorens,2018,2018,0,12
0.15,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,7
0.15,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,7
0.56,Group 1,2,Eucalyptus largiflorens,2018,2018,0,10
0.2,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,7
0.2,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,7
0.64,Group 1,2,Eucalyptus largiflorens,2018,2018,0,10
0.0025,Group 2,3,Acacia stenophylla,2015,2018,-3,2
0.0025,Group 2,3,Acacia stenophylla,2016,2018,-2,2
0.015,Group 2,3,Acacia stenophylla,2018,2018,0,4
0.6825,Group 2,3,Acacia stenophylla,2015,2018,-3,12
0.6825,Group 2,3,Acacia stenophylla,2016,2018,-2,12
0.57,Group 2,3,Acacia stenophylla,2018,2018,0,11
0.364,Group 2,3,Acacia stenophylla,2015,2018,-3,10
0.364,Group 2,3,Acacia stenophylla,2016,2018,-2,10
0.45,Group 2,3,Acacia stenophylla,2018,2018,0,10
0.4,Group 2,3,Acacia stenophylla,2018,2018,0,9
0.455,Group 2,3,Acacia stenophylla,2015,2018,-3,11
0.455,Group 2,3,Acacia stenophylla,2016,2018,-2,11
0.7371,Group 2,3,Acacia stenophylla,2015,2018,-3,13
0.7371,Group 2,3,Acacia stenophylla,2016,2018,-2,13
0.54,Group 2,3,Acacia stenophylla,2018,2018,0,10
0.6,Group 3,7,Eucalyptus largiflorens,2018,2018,0,10
0.25,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,8
0.25,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,8
0.68,Group 3,7,Eucalyptus largiflorens,2018,2018,0,11
0.6075,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,11
0.6075,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,11
0.5625,Group 3,7,Eucalyptus largiflorens,2018,2018,0,10
0.525,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,10
0.525,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,10
0.76,Group 3,7,Eucalyptus largiflorens,2018,2018,0,12
0.42,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,9
0.42,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,9
0.72,Group 3,7,Eucalyptus largiflorens,2018,2018,0,11
0.42,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,9
0.42,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,9
0.7225,Group 3,7,Eucalyptus largiflorens,2018,2018,0,12
0.567,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,11
0.567,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,11
0.72,Group 3,7,Eucalyptus largiflorens,2018,2018,0,11
0.24,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,7
0.06,mixed,6,Acacia stenophylla,2015,2018,-3,5
0.06,mixed,6,Acacia stenophylla,2016,2018,-2,5
0.5225,mixed,6,Acacia stenophylla,2018,2018,0,11
0.36,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,8
0.36,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,8
0.5625,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.2,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,7
0.2,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,7
0.4125,Group 2,10,Eucalyptus largiflorens,2018,2018,0,9
0.12,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,6
0.12,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,6
0.49,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.3,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,8
0.3,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,8
0.5625,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.14,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,7
0.14,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,7
0.5625,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.35,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,9
0.35,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,9
0.56,Group 2,10,Eucalyptus largiflorens,2018,2018,0,10
0.24,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,7
0.6,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.525,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,10
0.525,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,10
0.64,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.52,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,10
0.52,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,10
