residual,Density,time,HydroGp,Transect,Species,standResid
0.025092432519407404,0.7,-1.5,Group 5,18,RRG,0.19077486551163791
-0.03465887249125843,0.7,-0.5,Group 5,18,RRG,-0.26350740340502415
-0.031211470413604947,0.8,1.5,Group 5,18,RRG,-0.5595342074384102
0.1350924325194075,0.81,-1.5,Group 5,18,RRG,1.0270921571910892
0.07534112750874167,0.81,-0.5,Group 5,18,RRG,0.572809888274427
0.018788529586394986,0.85,1.5,Group 5,18,RRG,0.33682568849669264
0.12004720080559467,0.5,-1.5,Group 1,2,BB,0.6397190073362612
-0.013842707286418121,0.5,-0.5,Group 1,2,BB,-0.07376634277757464
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
0.37004720080559467,0.75,-1.5,Group 1,2,BB,1.9719429222699942
0.23615729271358188,0.75,-0.5,Group 1,2,BB,1.2584575721561584
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
0.22004720080559464,0.6,-1.5,Group 1,2,BB,1.1726085733097542
0.08615729271358186,0.6,-0.5,Group 1,2,BB,0.4591232231959184
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
0.02004720080559469,0.4,-1.5,Group 1,2,BB,0.10682944136276817
-0.1138427072864181,0.4,-0.5,Group 1,2,BB,-0.6066559087510677
0.04128414168346617,0.8,1.5,Group 1,2,BB,0.9479837961951842
0.4300472008055947,0.81,-1.5,Group 1,2,BB,2.2916766618540905
0.29615729271358193,0.81,-0.5,Group 1,2,BB,1.5781913117402546
0.14128414168346615,0.9,1.5,Group 1,2,BB,3.2442257853433825
0.22004720080559464,0.6,-1.5,Group 1,2,BB,1.1726085733097542
0.08615729271358186,0.6,-0.5,Group 1,2,BB,0.4591232231959184
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
-0.07995279919440534,0.3,-1.5,Group 1,2,BB,-0.4260601246107252
-0.21384270728641813,0.3,-0.5,Group 1,2,BB,-1.139545474724561
0.04128414168346617,0.8,1.5,Group 1,2,BB,0.9479837961951842
0.02004720080559469,0.4,-1.5,Group 1,2,BB,0.10682944136276817
-0.1138427072864181,0.4,-0.5,Group 1,2,BB,-0.6066559087510677
0.14128414168346615,0.9,1.5,Group 1,2,BB,3.2442257853433825
0.12004720080559467,0.5,-1.5,Group 1,2,BB,0.6397190073362612
-0.013842707286418121,0.5,-0.5,Group 1,2,BB,-0.07376634277757464
0.14128414168346615,0.9,1.5,Group 1,2,BB,3.2442257853433825
0.22004720080559464,0.6,-1.5,Group 1,2,BB,1.1726085733097542
0.08615729271358186,0.6,-0.5,Group 1,2,BB,0.4591232231959184
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
0.02004720080559469,0.4,-1.5,Group 1,2,BB,0.10682944136276817
-0.1138427072864181,0.4,-0.5,Group 1,2,BB,-0.6066559087510677
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
-0.07995279919440534,0.3,-1.5,Group 1,2,BB,-0.4260601246107252
-0.21384270728641813,0.3,-0.5,Group 1,2,BB,-1.139545474724561
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
0.22004720080559464,0.6,-1.5,Group 1,2,BB,1.1726085733097542
0.08615729271358186,0.6,-0.5,Group 1,2,BB,0.4591232231959184
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
0.12004720080559467,0.5,-1.5,Group 1,2,BB,0.6397190073362612
-0.013842707286418121,0.5,-0.5,Group 1,2,BB,-0.07376634277757464
0.04128414168346617,0.8,1.5,Group 1,2,BB,0.9479837961951842
0.37004720080559467,0.75,-1.5,Group 1,2,BB,1.9719429222699942
0.23615729271358188,0.75,-0.5,Group 1,2,BB,1.2584575721561584
0.04128414168346617,0.8,1.5,Group 1,2,BB,0.9479837961951842
0.02004720080559469,0.4,-1.5,Group 1,2,BB,0.10682944136276817
-0.1138427072864181,0.4,-0.5,Group 1,2,BB,-0.6066559087510677
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
-0.07995279919440534,0.3,-1.5,Group 1,2,BB,-0.4260601246107252
-0.21384270728641813,0.3,-0.5,Group 1,2,BB,-1.139545474724561
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
-0.17995279919440532,0.2,-1.5,Group 1,2,BB,-0.9589496905842183
-0.3138427072864181,0.2,-0.5,Group 1,2,BB,-1.6724350406980542
0.04128414168346617,0.8,1.5,Group 1,2,BB,0.9479837961951842
-0.2799527991944053,0.1,-1.5,Group 1,2,BB,-1.4918392565577114
-0.41384270728641814,0.1,-0.5,Group 1,2,BB,-2.2053246066715477
-0.008715858316533875,0.75,1.5,Group 1,2,BB,-0.20013719837891616
-0.17995279919440532,0.2,-1.5,Group 1,2,BB,-0.9589496905842183
-0.3138427072864181,0.2,-0.5,Group 1,2,BB,-1.6724350406980542
0.04128414168346617,0.8,1.5,Group 1,2,BB,0.9479837961951842
-0.17995279919440532,0.2,-1.5,Group 1,2,BB,-0.9589496905842183
-0.3138427072864181,0.2,-0.5,Group 1,2,BB,-1.6724350406980542
0.0912841416834661,0.85,1.5,Group 1,2,BB,2.096104790769282
-0.07995279919440534,0.3,-1.5,Group 1,2,BB,-0.4260601246107252
-0.21384270728641813,0.3,-0.5,Group 1,2,BB,-1.139545474724561
-0.008715858316533875,0.75,1.5,Group 1,2,BB,-0.20013719837891616
-0.07995279919440534,0.3,-1.5,Group 1,2,BB,-0.4260601246107252
-0.21384270728641813,0.3,-0.5,Group 1,2,BB,-1.139545474724561
0.04128414168346617,0.8,1.5,Group 1,2,BB,0.9479837961951842
-0.17995279919440532,0.2,-1.5,Group 1,2,BB,-0.9589496905842183
-0.3138427072864181,0.2,-0.5,Group 1,2,BB,-1.6724350406980542
-0.008715858316533875,0.75,1.5,Group 1,2,BB,-0.20013719837891616
-0.08195014180853133,0.3,-1.5,Group 2,3,Cooba,-0.4206823997466461
-0.1304761322646844,0.3,-0.5,Group 2,3,Cooba,-0.6697854478276701
-0.08066936520140172,0.45,1.5,Group 2,3,Cooba,-0.9777227734659268
-0.33195014180853133,0.05,-1.5,Group 2,3,Cooba,-1.7040310019050486
-0.3804761322646844,0.05,-0.5,Group 2,3,Cooba,-1.9531340499860723
-0.1306693652014017,0.4,1.5,Group 2,3,Cooba,-1.5837290132726445
0.21804985819146866,0.6,-1.5,Group 2,3,Cooba,1.1193359228434367
0.16952386773531558,0.6,-0.5,Group 2,3,Cooba,0.8702328747624125
0.06933063479859825,0.6,1.5,Group 2,3,Cooba,0.840295945954226
-0.08195014180853133,0.3,-1.5,Group 2,3,Cooba,-0.4206823997466461
-0.1304761322646844,0.3,-0.5,Group 2,3,Cooba,-0.6697854478276701
0.019330634798598312,0.55,1.5,Group 2,3,Cooba,0.23428970614750902
-0.08195014180853133,0.3,-1.5,Group 2,3,Cooba,-0.4206823997466461
-0.1304761322646844,0.3,-0.5,Group 2,3,Cooba,-0.6697854478276701
-0.030669365201401733,0.5,1.5,Group 2,3,Cooba,-0.37171653365920926
